Route_ID,Company Name,Origin,Destination,Current_Route_Distance,Optimized_Route_Distance,Current_Emissions,Optimized_Emissions,Estimated_Time_Saved,Estimated_Cost_Savings,Vehicle_Capacity_Utilization
RT-253,Keells Supermarkets,Koggala,Jakarta,4024.68,3593.33,194.94,173.6,8.19,1129.13,86.1
RT-254,Keells Food Products,Colombo,Sydney,1447.2,1317.28,60.86,41.56,2.13,246.96,82.34
RT-255,Lanka Marine Services,Galle,Dubai,4678.97,4441.82,156.84,214.53,4.04,414.85,94.45
RT-256,Keells Food Products,Galle,Mumbai,3661.63,3274.67,117.42,138.75,6.46,617.15,80.8
RT-257,Keells Food Products,Colombo,London,3690.26,3238.94,169.28,153.87,6.54,917.37,92.51
RT-258,Keells Food Products,Trincomalee,Tokyo,1143.77,1114.29,43.46,33.61,0.53,70.17,87.01
RT-259,Union Assurance,Katunayake,London,4591.04,4344.72,214.79,138.7,4.7,646.62,92.1
RT-260,Keells Supermarkets,Trincomalee,Shanghai,843.31,728.82,41.64,22.81,1.87,220.23,80.29
RT-261,John Keells Properties,Koggala,Jakarta,1664.99,1435.72,77.98,58.77,4.11,631.47,91.92
RT-262,Keells Food Products,Hambantota,Chennai,3776.62,3566.29,168.4,108.9,3.56,351.22,80.46
RT-263,Lanka Marine Services,Hambantota,Sydney,2651.8,2390.26,100.14,76.25,4.63,762.19,94.79
RT-264,Cinnamon Hotels & Resorts,Trincomalee,Doha,4056.09,3550.97,187.16,153.07,9.75,1138.79,84.8
RT-265,John Keells Logistics,Colombo,Chennai,4924.37,4365.03,179.99,148.19,8.03,1332.92,90.91
RT-266,John Keells Properties,Hambantota,Singapore,3938.68,3647.06,166.68,137.43,4.86,648.55,81.57
RT-267,Walkers Tours,Trincomalee,Chennai,3284.16,3030.08,149.13,150.85,3.89,759.61,88.69
RT-268,Union Assurance,Katunayake,Doha,2725.59,2536.41,117.27,94.12,3.43,485.56,90.1
RT-269,Lanka Marine Services,Colombo,Doha,4144.81,3717.6,176.56,179.97,8.0,1108.81,82.05
RT-270,DHL Keells,Katunayake,Mumbai,1885.4,1645.03,92.12,69.36,4.19,699.34,83.43
RT-271,Walkers Tours,Katunayake,Doha,2999.28,2699.45,124.98,117.57,5.2,623.42,85.79
RT-272,Keells Food Products,Koggala,Singapore,2919.36,2610.82,99.72,113.58,4.99,853.92,83.21
RT-273,Keells Food Products,Trincomalee,Singapore,4166.4,3739.28,167.52,126.97,8.25,1043.23,81.9
RT-274,Keells Supermarkets,Galle,Tokyo,1434.92,1366.13,59.48,53.46,1.05,185.95,82.63
RT-275,Mackinnons Travels,Galle,Dubai,3238.88,2880.38,114.39,119.97,6.03,663.37,89.19
RT-276,John Keells Properties,Trincomalee,Tokyo,3675.17,3275.24,173.03,142.6,6.27,1074.01,89.63
RT-277,Mackinnons Travels,Hambantota,Jakarta,4842.36,4661.7,145.74,182.59,2.7,448.25,86.44
RT-278,Keells Food Products,Hambantota,Jakarta,3505.36,3304.92,122.14,120.59,3.02,592.92,94.52
RT-279,Lanka Marine Services,Katunayake,Mumbai,732.12,669.67,22.72,27.43,1.07,124.9,83.6
RT-280,Walkers Tours,Colombo,Jakarta,2379.63,2195.2,91.95,66.8,3.13,448.68,81.49
RT-281,Mackinnons Travels,Katunayake,London,3133.68,2803.74,132.12,96.0,6.32,550.63,86.29
RT-282,Keells Food Products,Colombo,Chennai,1516.83,1428.25,65.07,57.7,1.43,264.32,89.1
RT-283,John Keells Properties,Katunayake,Shanghai,3313.51,3026.19,152.75,143.38,4.51,762.77,82.11
RT-284,John Keells Logistics,Colombo,Tokyo,2045.92,1947.82,63.06,62.99,1.54,261.23,82.28
RT-285,Cinnamon Hotels & Resorts,Katunayake,Doha,2628.17,2452.86,80.78,89.58,3.32,490.23,84.71
RT-286,Keells Food Products,Hambantota,Doha,1425.69,1229.21,55.8,50.74,3.42,426.33,86.55
RT-287,Keells Food Products,Colombo,London,4155.42,3682.96,161.95,131.33,7.97,1103.0,86.68
RT-288,Mackinnons Travels,Hambantota,Chennai,3723.48,3347.56,130.62,149.13,6.27,905.97,88.28
RT-289,Mackinnons Travels,Katunayake,Dubai,579.81,536.97,19.6,19.76,0.81,124.01,85.09
RT-290,DHL Keells,Koggala,Jakarta,916.23,849.65,40.22,36.42,0.99,181.59,84.52
RT-291,Union Assurance,Hambantota,Jakarta,4406.18,4280.35,213.1,158.62,2.25,289.72,93.24
RT-292,Mackinnons Travels,Trincomalee,London,2284.45,2213.01,109.22,106.87,1.32,164.99,81.15
RT-293,John Keells Properties,Colombo,Jakarta,3660.58,3243.93,155.6,120.54,7.69,848.24,87.27
RT-294,Keells Food Products,Hambantota,Tokyo,1832.79,1757.82,62.48,78.43,1.09,212.66,80.73
RT-295,Union Assurance,Koggala,Mumbai,1454.52,1237.69,54.1,53.95,4.09,385.57,91.45
RT-296,John Keells Logistics,Galle,Sydney,2110.28,1956.78,82.96,65.34,2.54,261.62,88.6
RT-297,Walkers Tours,Katunayake,Singapore,521.12,494.73,17.85,19.83,0.41,44.79,81.69
RT-298,Union Assurance,Katunayake,Dubai,1017.55,937.0,40.93,37.0,1.59,141.7,84.18
RT-299,Walkers Tours,Hambantota,Jakarta,4584.56,4433.75,185.89,165.5,2.41,269.61,80.6
RT-300,DHL Keells,Colombo,London,3433.27,3305.37,103.6,119.76,2.52,364.49,81.92
RT-301,Lanka Marine Services,Colombo,Chennai,1676.02,1522.68,81.7,71.67,2.28,299.78,93.43
RT-302,Lanka Marine Services,Trincomalee,Doha,3070.57,2719.25,113.38,126.44,5.94,901.88,81.32
RT-303,Cinnamon Hotels & Resorts,Koggala,Dubai,1013.65,928.7,33.31,35.91,1.52,171.75,83.63
RT-304,Union Assurance,Galle,Doha,3114.3,2819.69,96.3,97.09,4.48,840.94,86.83
RT-305,Cinnamon Hotels & Resorts,Galle,Shanghai,2201.23,2076.74,94.97,83.82,2.25,283.98,84.86
RT-306,Walkers Tours,Galle,London,803.01,707.01,35.66,23.51,1.66,202.05,80.65
RT-307,Mackinnons Travels,Koggala,Sydney,2168.04,1955.5,87.68,69.25,3.41,356.45,91.63
RT-308,Lanka Marine Services,Katunayake,Sydney,909.5,881.8,38.55,43.9,0.42,58.36,86.42
RT-309,Lanka Marine Services,Colombo,Singapore,2109.68,1991.75,97.16,74.01,2.09,342.7,81.55
RT-310,Keells Food Products,Hambantota,London,2679.78,2508.74,99.14,101.38,2.51,274.18,87.84
RT-311,Walkers Tours,Koggala,Sydney,4215.77,3676.5,140.57,180.41,9.89,1263.61,80.22
RT-312,Lanka Marine Services,Katunayake,Sydney,4992.78,4599.0,179.2,223.75,6.49,1027.75,81.18
RT-313,Union Assurance,Colombo,Dubai,3493.14,3234.6,166.32,142.78,4.73,523.71,87.07
RT-314,Keells Supermarkets,Trincomalee,Singapore,3337.86,3028.39,118.76,93.34,5.74,628.08,83.73
RT-315,DHL Keells,Koggala,Tokyo,4713.34,4562.16,183.47,171.91,2.59,275.71,92.92
RT-316,Keells Food Products,Katunayake,Mumbai,1527.63,1339.72,62.88,61.24,3.13,394.73,81.95
RT-317,Keells Supermarkets,Galle,Mumbai,3869.71,3700.54,120.45,167.35,2.43,272.85,94.52
RT-318,DHL Keells,Galle,Jakarta,1655.24,1491.26,56.27,72.66,2.79,384.9,81.67
RT-319,John Keells Properties,Colombo,Mumbai,3476.17,3305.97,130.71,136.41,2.63,313.1,82.41
RT-320,John Keells Properties,Trincomalee,Shanghai,3588.2,3327.18,127.23,159.99,4.17,492.66,84.23
RT-321,Keells Food Products,Trincomalee,Tokyo,1169.04,1115.5,50.94,52.14,0.93,90.42,87.96
RT-322,Lanka Marine Services,Koggala,Tokyo,3950.3,3365.62,187.6,167.54,8.97,1751.45,92.15
RT-323,DHL Keells,Katunayake,Dubai,509.54,454.43,21.59,13.84,0.98,139.98,90.23
RT-324,Keells Supermarkets,Koggala,Tokyo,1487.0,1298.82,52.15,57.08,2.86,356.92,84.82
RT-325,Keells Supermarkets,Katunayake,Shanghai,1393.69,1328.18,44.72,43.52,1.13,141.33,91.22
RT-326,John Keells Logistics,Katunayake,Doha,3158.23,2917.52,106.51,128.26,4.14,409.64,81.78
RT-327,DHL Keells,Trincomalee,Dubai,4226.13,3751.11,129.55,144.1,7.36,1402.69,86.07
RT-328,John Keells Logistics,Trincomalee,London,1434.73,1318.35,49.47,40.0,1.92,241.12,91.42
RT-329,Lanka Marine Services,Hambantota,Sydney,2725.07,2467.08,85.45,87.34,3.84,433.84,85.01
RT-330,Union Assurance,Colombo,Singapore,505.49,456.84,19.27,22.33,0.71,132.01,83.97
RT-331,DHL Keells,Koggala,Jakarta,1821.77,1729.92,68.84,72.89,1.41,232.39,90.08
RT-332,Lanka Marine Services,Koggala,Doha,3389.95,2899.36,135.51,128.41,7.46,785.69,83.41
RT-333,Cinnamon Hotels & Resorts,Hambantota,Chennai,827.27,717.42,37.47,28.95,1.99,294.9,93.13
RT-334,Keells Supermarkets,Koggala,Doha,750.68,683.0,29.4,20.92,1.01,161.83,90.66
RT-335,John Keells Properties,Colombo,Dubai,1032.01,901.13,49.95,29.78,2.48,377.93,88.03
RT-336,DHL Keells,Koggala,Shanghai,3487.82,3032.26,126.15,124.04,7.56,1114.24,82.59
RT-337,Walkers Tours,Trincomalee,Jakarta,3053.56,2702.34,128.38,103.04,5.22,603.57,84.99
RT-338,Cinnamon Hotels & Resorts,Katunayake,Singapore,3827.62,3620.89,171.03,169.24,3.97,436.8,89.8
RT-339,Keells Food Products,Katunayake,Jakarta,1220.04,1149.18,55.01,39.3,1.32,162.25,84.73
RT-340,Keells Supermarkets,Colombo,Chennai,539.4,509.47,21.16,21.11,0.58,48.01,84.85
RT-341,Union Assurance,Hambantota,Chennai,4536.87,4190.62,208.35,176.23,6.33,715.17,87.62
RT-342,Keells Food Products,Galle,Dubai,3043.32,2635.2,128.3,91.18,7.76,1135.56,87.86
RT-343,DHL Keells,Galle,Chennai,916.36,818.47,43.96,26.11,1.82,250.98,86.06
RT-344,John Keells Properties,Galle,Mumbai,1772.04,1648.39,81.89,62.28,2.38,247.48,92.25
RT-345,Walkers Tours,Colombo,Mumbai,1688.44,1569.08,83.43,49.23,1.98,288.05,88.25
RT-346,Lanka Marine Services,Colombo,Mumbai,668.82,607.34,29.06,29.65,0.89,100.84,83.48
RT-347,John Keells Logistics,Hambantota,London,1300.1,1115.5,58.91,44.69,3.53,298.45,91.07
RT-348,Keells Supermarkets,Trincomalee,Dubai,3794.86,3399.58,145.79,131.83,6.45,928.99,82.19
RT-349,Union Assurance,Katunayake,Chennai,4312.92,3799.01,132.9,166.08,9.03,1478.48,89.39
RT-350,John Keells Logistics,Koggala,Chennai,2966.92,2541.71,143.37,115.22,6.34,1109.28,92.51
RT-351,Walkers Tours,Colombo,Sydney,2853.9,2774.84,114.03,91.28,1.44,200.46,86.0
RT-352,Keells Food Products,Colombo,Mumbai,4386.06,3839.44,199.09,118.84,8.72,1184.64,84.94
RT-353,John Keells Logistics,Colombo,Jakarta,3335.92,2894.8,143.46,95.78,7.7,928.55,87.45
RT-354,Walkers Tours,Koggala,Jakarta,2356.3,2228.87,99.09,98.47,2.05,273.91,85.29
RT-355,DHL Keells,Hambantota,Singapore,654.57,617.38,24.1,22.7,0.68,72.79,86.95
RT-356,Keells Supermarkets,Colombo,Doha,4472.68,4092.55,149.54,181.83,6.98,766.04,91.2
RT-357,Union Assurance,Katunayake,Tokyo,3823.31,3460.18,143.69,116.62,6.06,714.38,89.86
RT-358,Union Assurance,Galle,Jakarta,2518.6,2300.04,102.48,70.54,3.14,450.53,86.91
RT-359,Lanka Marine Services,Hambantota,Tokyo,4844.47,4646.7,211.35,228.86,3.78,498.0,94.13
RT-360,Keells Supermarkets,Hambantota,London,2412.06,2283.54,95.37,105.45,2.46,371.36,92.07
RT-361,Lanka Marine Services,Hambantota,Jakarta,3267.94,2889.61,128.26,107.9,6.32,1048.91,80.99
RT-362,John Keells Logistics,Koggala,Chennai,1985.56,1757.56,76.67,61.14,3.59,368.33,93.28
RT-363,DHL Keells,Colombo,London,1170.76,1101.82,41.76,39.75,1.14,110.65,81.72
RT-364,DHL Keells,Trincomalee,Tokyo,3727.92,3402.85,149.03,150.25,5.96,503.64,94.97
RT-365,Union Assurance,Hambantota,Mumbai,2180.92,1939.77,88.09,64.8,4.31,422.79,83.59
RT-366,Cinnamon Hotels & Resorts,Hambantota,Singapore,1767.42,1667.34,77.11,60.63,1.74,161.22,84.7
RT-367,John Keells Properties,Koggala,Singapore,750.95,677.47,27.62,22.94,1.17,218.75,83.41
RT-368,Walkers Tours,Galle,Mumbai,3484.04,3195.81,141.75,130.08,5.36,727.62,92.28
RT-369,Keells Food Products,Koggala,Sydney,3379.18,3041.24,112.21,107.53,6.5,800.94,80.72
RT-370,Keells Food Products,Galle,Doha,3628.22,3313.74,111.16,141.7,5.98,762.0,90.13
RT-371,Union Assurance,Trincomalee,Jakarta,1653.93,1557.74,54.13,48.06,1.78,210.07,88.86
RT-372,Lanka Marine Services,Trincomalee,Jakarta,1872.79,1736.19,90.09,55.05,2.68,256.46,83.69
RT-373,DHL Keells,Galle,Jakarta,2461.96,2274.91,107.42,107.01,3.39,552.78,94.23
RT-374,Lanka Marine Services,Hambantota,Doha,1107.33,1044.73,53.2,40.73,0.94,157.05,87.03
RT-375,Keells Supermarkets,Katunayake,Singapore,1654.39,1447.45,62.27,67.47,3.54,526.13,88.83
RT-376,DHL Keells,Katunayake,Tokyo,1148.12,1085.52,55.49,44.86,0.91,124.76,82.2
RT-377,Mackinnons Travels,Hambantota,Shanghai,4767.84,4389.54,204.78,180.45,6.07,987.98,93.42
RT-378,Lanka Marine Services,Katunayake,Singapore,2861.09,2557.43,108.57,95.8,4.46,710.99,92.6
RT-379,Cinnamon Hotels & Resorts,Koggala,Tokyo,4834.2,4456.9,148.19,175.38,5.91,1061.25,85.97
RT-380,Lanka Marine Services,Hambantota,Chennai,4123.6,3925.51,128.25,147.41,3.72,440.52,92.5
RT-381,Cinnamon Hotels & Resorts,Trincomalee,Mumbai,2604.68,2469.82,116.97,111.5,2.22,384.96,89.48
RT-382,Keells Supermarkets,Katunayake,Chennai,3236.71,2863.76,99.48,101.78,5.91,939.07,91.16
RT-383,Union Assurance,Trincomalee,Jakarta,3008.79,2631.78,117.56,85.75,5.85,991.86,82.17
RT-384,Lanka Marine Services,Trincomalee,Dubai,2756.84,2419.91,118.23,104.01,6.01,567.87,89.27
RT-385,Union Assurance,Galle,Doha,3235.73,2815.64,104.45,130.36,7.75,636.83,87.87
RT-386,Keells Supermarkets,Galle,London,2180.82,1863.74,69.17,90.19,4.65,894.68,85.44
RT-387,DHL Keells,Hambantota,Jakarta,1444.82,1392.47,46.78,54.58,0.82,140.95,83.04
RT-388,Keells Supermarkets,Hambantota,Tokyo,4071.85,3718.03,197.47,172.24,5.26,916.87,83.61
RT-389,DHL Keells,Koggala,Doha,3966.46,3423.12,191.53,104.53,8.3,1191.49,81.86
RT-390,Cinnamon Hotels & Resorts,Trincomalee,Chennai,3481.66,3039.0,123.07,91.37,7.45,1090.28,89.25
RT-391,Keells Food Products,Trincomalee,Mumbai,2527.75,2191.32,94.48,106.2,5.29,553.21,87.83
RT-392,Keells Food Products,Colombo,Doha,1904.66,1756.18,93.89,56.99,2.31,294.64,80.09
RT-393,Union Assurance,Trincomalee,Dubai,1207.5,1074.87,52.89,41.59,2.45,207.92,84.57
RT-394,John Keells Logistics,Hambantota,Shanghai,4630.6,4420.63,220.95,145.41,3.78,527.12,89.93
RT-395,Cinnamon Hotels & Resorts,Trincomalee,Dubai,1909.12,1864.05,70.51,58.91,0.84,129.31,85.79
RT-396,Lanka Marine Services,Koggala,Dubai,2393.41,2305.83,91.28,101.14,1.27,150.96,86.27
RT-397,Keells Food Products,Colombo,Chennai,1171.96,1032.5,47.76,46.37,2.07,266.17,90.42
RT-398,Lanka Marine Services,Galle,Jakarta,2062.0,1928.48,97.01,80.57,2.21,273.01,84.08
RT-399,John Keells Logistics,Colombo,Mumbai,1066.04,921.97,37.04,38.93,2.82,329.93,91.76
RT-400,DHL Keells,Colombo,Sydney,4727.81,4157.26,185.2,200.88,9.87,1182.94,80.8
RT-401,John Keells Properties,Galle,Shanghai,1876.27,1667.19,84.27,74.34,3.0,585.89,82.54
RT-402,Union Assurance,Koggala,Singapore,4547.1,4034.05,209.75,173.08,8.68,971.01,84.65
RT-403,Keells Supermarkets,Trincomalee,Jakarta,589.09,553.16,19.2,25.26,0.55,79.81,93.16
RT-404,Keells Supermarkets,Colombo,Singapore,1606.66,1483.54,59.93,68.5,2.02,328.15,88.96
RT-405,Union Assurance,Katunayake,Jakarta,716.0,649.2,32.38,31.05,0.96,100.91,83.8
RT-406,Cinnamon Hotels & Resorts,Katunayake,Dubai,2957.84,2693.46,142.87,109.23,3.92,547.76,82.87
RT-407,John Keells Properties,Katunayake,Shanghai,1528.37,1369.55,47.98,61.23,3.04,392.57,81.36
RT-408,Lanka Marine Services,Galle,Shanghai,4936.23,4592.31,224.41,222.31,5.49,816.93,84.04
RT-409,Mackinnons Travels,Katunayake,Shanghai,1212.42,1100.36,52.91,36.19,2.08,318.33,86.28
RT-410,Cinnamon Hotels & Resorts,Katunayake,London,3426.55,2959.59,121.15,120.66,8.76,884.24,94.5
RT-411,John Keells Properties,Katunayake,Shanghai,2753.03,2535.88,111.69,89.17,3.89,475.07,93.45
RT-412,Mackinnons Travels,Katunayake,Sydney,2085.76,1792.08,82.62,86.48,5.23,724.94,87.08
RT-413,Keells Food Products,Katunayake,Sydney,1196.72,1042.01,53.17,33.72,2.86,313.32,93.43
RT-414,Mackinnons Travels,Colombo,Dubai,2934.58,2793.11,94.0,122.04,2.58,322.53,87.95
RT-415,Keells Supermarkets,Koggala,Chennai,719.73,630.12,28.81,27.22,1.37,262.54,80.06
RT-416,Keells Supermarkets,Galle,Doha,2274.97,2202.2,91.39,81.29,1.13,203.49,80.29
RT-417,Lanka Marine Services,Trincomalee,London,4572.96,3936.23,149.18,162.78,10.36,1733.3,83.06
RT-418,John Keells Properties,Katunayake,Tokyo,2757.17,2459.08,98.34,109.93,4.27,654.56,83.19
RT-419,Union Assurance,Katunayake,Mumbai,1526.85,1417.14,56.58,70.18,1.83,282.47,85.6
RT-420,Cinnamon Hotels & Resorts,Galle,Singapore,1057.48,919.64,50.53,39.16,2.22,298.73,82.26
RT-421,Walkers Tours,Koggala,Doha,3662.71,3448.67,120.61,149.61,3.95,400.83,89.5
RT-422,Walkers Tours,Trincomalee,Jakarta,4142.04,3720.28,174.15,116.79,6.54,637.74,83.14
RT-423,Union Assurance,Galle,London,2557.43,2293.01,113.68,76.57,4.03,466.92,86.44
RT-424,Walkers Tours,Galle,Sydney,648.79,609.22,32.32,21.86,0.6,77.18,90.21
RT-425,Walkers Tours,Trincomalee,Jakarta,1713.31,1653.1,73.29,62.51,1.0,173.76,81.39
RT-426,John Keells Logistics,Koggala,Dubai,2887.52,2702.72,115.61,101.43,3.34,518.71,87.49
RT-427,Lanka Marine Services,Koggala,Dubai,2242.93,2017.1,95.1,72.33,3.56,465.2,82.25
RT-428,Keells Food Products,Trincomalee,Shanghai,1454.51,1288.11,51.42,54.25,2.91,260.95,94.52
RT-429,John Keells Logistics,Koggala,Dubai,2858.11,2679.12,86.19,99.95,2.79,511.24,94.65
RT-430,Cinnamon Hotels & Resorts,Colombo,Tokyo,4018.8,3856.56,167.06,167.02,2.49,440.58,91.89
RT-431,Union Assurance,Katunayake,Doha,4569.91,4375.62,160.49,179.85,3.71,513.25,87.48
RT-432,DHL Keells,Katunayake,Mumbai,1237.16,1148.28,44.38,44.53,1.69,247.54,81.36
RT-433,John Keells Properties,Galle,Sydney,3476.41,3160.14,135.44,144.16,4.9,836.09,85.37
RT-434,Walkers Tours,Galle,Mumbai,4286.21,3827.76,193.38,158.73,7.3,1009.84,91.76
RT-435,Keells Supermarkets,Trincomalee,Tokyo,784.65,725.06,29.52,24.32,0.89,127.86,87.98
RT-436,Mackinnons Travels,Hambantota,Jakarta,1136.96,1042.57,53.84,42.85,1.83,229.7,90.81
RT-437,Keells Supermarkets,Hambantota,Tokyo,1034.44,939.46,40.98,37.75,1.41,187.08,85.98
RT-438,John Keells Properties,Colombo,Jakarta,777.44,686.5,28.15,26.77,1.67,247.6,82.24
RT-439,Union Assurance,Koggala,Chennai,1725.39,1575.67,74.64,77.83,2.9,438.32,89.0
RT-440,Mackinnons Travels,Koggala,Tokyo,684.79,650.85,21.54,31.79,0.59,59.36,84.43
RT-441,Keells Food Products,Colombo,Singapore,1712.87,1473.69,56.19,66.68,3.76,438.96,92.86
RT-442,DHL Keells,Koggala,Singapore,591.37,551.57,25.53,21.39,0.57,68.43,82.83
RT-443,Walkers Tours,Trincomalee,Chennai,1479.75,1294.3,72.69,42.68,2.67,377.89,93.48
RT-444,Keells Supermarkets,Koggala,Tokyo,1587.84,1359.51,77.98,62.13,4.12,666.1,89.0
RT-445,Walkers Tours,Trincomalee,Sydney,4265.38,4051.32,208.53,153.92,4.01,405.91,92.16
RT-446,Cinnamon Hotels & Resorts,Colombo,Sydney,3940.75,3734.74,146.36,115.98,3.86,506.03,84.51
RT-447,Union Assurance,Hambantota,Singapore,1087.14,951.51,49.74,45.38,2.2,240.03,81.42
RT-448,John Keells Logistics,Colombo,Singapore,1153.92,1005.29,36.53,43.18,2.49,355.23,81.76
RT-449,Union Assurance,Galle,Tokyo,4610.61,4384.63,221.62,167.5,3.95,463.29,83.77
RT-450,Union Assurance,Katunayake,Mumbai,1505.83,1460.94,63.93,63.91,0.7,84.39,87.79
RT-451,Walkers Tours,Katunayake,London,1038.0,974.9,50.65,29.62,1.23,179.98,85.51
RT-452,Union Assurance,Hambantota,Tokyo,3523.19,3093.3,120.0,151.41,6.87,1282.87,90.55
RT-453,Keells Supermarkets,Galle,Chennai,3805.21,3474.1,116.67,160.71,6.27,660.84,89.52
RT-454,Keells Food Products,Trincomalee,Tokyo,719.75,687.07,29.9,30.58,0.62,56.26,81.72
RT-455,DHL Keells,Koggala,London,3331.4,3263.39,138.3,111.41,1.33,201.93,84.17
RT-456,Keells Food Products,Hambantota,Jakarta,792.71,720.3,35.83,29.88,1.43,144.99,87.89
RT-457,Cinnamon Hotels & Resorts,Colombo,Dubai,4982.45,4452.43,238.32,163.49,9.65,1075.83,93.52
RT-458,Cinnamon Hotels & Resorts,Katunayake,Doha,3752.85,3546.34,187.06,153.47,3.33,506.31,81.41
RT-459,DHL Keells,Katunayake,Jakarta,2846.59,2658.61,130.32,121.03,3.18,330.13,93.4
RT-460,Keells Supermarkets,Katunayake,Chennai,2003.44,1865.41,77.04,82.49,2.4,291.82,82.88
RT-461,Cinnamon Hotels & Resorts,Trincomalee,Shanghai,927.64,887.29,37.25,27.13,0.61,66.78,84.06
RT-462,DHL Keells,Hambantota,London,793.64,739.17,31.84,23.22,0.82,142.34,89.25
RT-463,Walkers Tours,Hambantota,Shanghai,3945.84,3548.7,185.1,130.29,5.91,1098.01,85.33
RT-464,John Keells Logistics,Koggala,Chennai,948.91,863.54,29.85,41.27,1.5,134.37,82.77
RT-465,DHL Keells,Galle,Shanghai,1029.2,922.11,50.03,32.6,1.56,263.37,84.94
RT-466,Cinnamon Hotels & Resorts,Katunayake,Sydney,1618.47,1526.35,58.17,53.99,1.54,171.53,82.59
RT-467,Cinnamon Hotels & Resorts,Trincomalee,Chennai,2994.72,2923.44,106.05,101.13,1.37,200.43,93.14
RT-468,Keells Food Products,Galle,Sydney,3261.49,2788.83,110.37,100.06,7.03,1046.62,81.99
RT-469,Mackinnons Travels,Colombo,Shanghai,2304.86,2058.73,108.45,100.17,4.71,519.7,94.0
RT-470,Walkers Tours,Hambantota,Doha,856.83,824.11,33.71,31.87,0.61,49.79,89.65
RT-471,Walkers Tours,Hambantota,Sydney,4697.58,4033.01,219.56,164.05,9.55,1611.02,92.75
RT-472,Keells Food Products,Koggala,Mumbai,4460.98,4144.56,196.88,159.88,4.9,884.42,85.71
RT-473,Cinnamon Hotels & Resorts,Hambantota,Mumbai,4515.62,4123.19,151.04,163.49,7.79,632.53,83.97
RT-474,Walkers Tours,Katunayake,Sydney,4795.94,4107.82,197.62,190.38,12.23,1451.05,91.08
RT-475,Keells Supermarkets,Trincomalee,Jakarta,1655.52,1494.6,58.77,56.81,2.4,342.08,88.95
RT-476,John Keells Properties,Katunayake,Singapore,3865.99,3660.78,151.36,133.27,4.0,318.57,91.81
RT-477,Keells Supermarkets,Galle,Tokyo,889.12,823.08,40.51,40.46,0.95,116.74,92.97
RT-478,Mackinnons Travels,Katunayake,Doha,1507.0,1319.49,51.22,59.96,3.27,439.35,85.5
RT-479,Mackinnons Travels,Katunayake,Doha,1649.23,1435.61,67.16,59.64,4.06,322.8,94.47
RT-480,Walkers Tours,Colombo,Sydney,3555.2,3404.63,138.25,153.43,2.96,303.68,88.04
RT-481,John Keells Properties,Colombo,Dubai,874.23,748.13,33.06,28.63,2.25,319.31,89.03
RT-482,Keells Food Products,Hambantota,Dubai,4083.11,3989.61,201.02,186.03,1.37,172.96,82.19
RT-483,DHL Keells,Colombo,Dubai,1000.3,941.71,42.41,40.68,0.86,174.06,90.16
RT-484,DHL Keells,Hambantota,Sydney,1899.76,1643.44,94.63,58.01,4.18,449.6,83.89
RT-485,Keells Supermarkets,Katunayake,Dubai,3984.87,3562.55,127.78,109.68,6.6,1250.8,85.35
RT-486,Lanka Marine Services,Koggala,Tokyo,4305.28,3819.63,214.61,126.06,9.58,1150.08,81.27
RT-487,John Keells Logistics,Galle,Tokyo,3130.95,2976.14,135.1,131.25,2.43,362.73,83.48
RT-488,Mackinnons Travels,Koggala,Dubai,3407.88,3126.06,154.8,127.14,4.39,580.83,84.57
RT-489,John Keells Logistics,Trincomalee,Doha,3513.42,3024.18,173.95,116.56,8.98,1024.11,89.44
RT-490,Mackinnons Travels,Katunayake,Sydney,1978.08,1870.16,81.65,64.7,1.93,213.17,82.74
RT-491,DHL Keells,Koggala,Mumbai,4842.57,4124.09,165.84,188.26,12.45,1395.07,92.53
RT-492,Mackinnons Travels,Hambantota,Mumbai,2294.45,2240.66,100.03,79.01,0.91,80.88,85.53
RT-493,John Keells Properties,Colombo,Jakarta,2990.56,2928.02,93.33,91.3,0.95,175.55,94.92
RT-494,John Keells Properties,Galle,Chennai,4749.3,4228.3,189.64,175.98,7.82,1453.04,84.56
RT-495,John Keells Logistics,Galle,Doha,2809.34,2458.63,135.07,109.56,5.99,546.68,80.58
RT-496,Keells Food Products,Koggala,London,1949.18,1775.16,62.8,69.09,2.95,262.91,91.01
RT-497,DHL Keells,Hambantota,Tokyo,4876.32,4210.26,165.95,178.8,11.54,1016.49,90.69
RT-498,DHL Keells,Hambantota,Jakarta,573.52,531.11,17.95,20.45,0.82,91.3,93.55
RT-499,Union Assurance,Colombo,Jakarta,1136.48,995.57,47.45,47.35,2.25,260.19,81.29
