Supplier_ID,Supplier_Name,Sustainability_Score,Cost_Per_Unit,Compliance_Certifications,Country,Risk_Assessment
SUP-306,Gemstone Petroleum Distributors,90.97,10.85,"ISO 9001, GMP",Vietnam,Medium
SUP-307,Gemstone Petroleum Distributors,80.92,8.44,HACCP,Vietnam,Low
SUP-308,Colombo Steel Traders,77.41,7.27,"None, SA8000",China,Low
SUP-309,Gemstone Petroleum Distributors,60.06,18.77,"HACCP, None",Bangladesh,Low
SUP-310,Pearl Maritime Services,82.88,5.95,None,India,High
SUP-311,Highland Dairy Suppliers,95.15,7.2,SA8000,Vietnam,Medium
SUP-312,Colombo Steel Traders,96.39,8.85,ISO 9001,Sri Lanka,Medium
SUP-313,Lanka Commodities,80.08,15.92,"ISO 14001, ISO 9001, SA8000",Bangladesh,Medium
SUP-314,Oceanic Shipping Lines,66.28,19.83,FairTrade,China,Medium
SUP-315,Colombo Steel Traders,80.12,9.46,"SA8000, ISO 9001, ISO 14001",Malaysia,Medium
SUP-316,Island Fresh Produce,58.83,8.34,"FairTrade, None, ISO 9001",Malaysia,Low
SUP-317,Ceylon Agro Industries,95.61,9.03,ISO 9001,Sri Lanka,Medium
SUP-318,Lanka Commodities,89.94,5.64,"FairTrade, ISO 9001, ISO 14001",Singapore,Medium
SUP-319,Lanka Mining Co.,75.33,24.22,ISO 9001,Bangladesh,High
SUP-320,Lanka Mining Co.,80.14,11.02,"FairTrade, ISO 9001, HACCP",India,Medium
SUP-321,Serendib Construction Materials,87.21,6.41,"ISO 9001, None, SA8000",Malaysia,Low
SUP-322,Pearl Maritime Services,73.16,17.42,"ISO 14001, SA8000, ISO 9001",China,Medium
SUP-323,Asian Packaging Ltd.,51.8,9.45,"HACCP, GMP, SA8000",Singapore,Medium
SUP-324,Sapphire IT Solutions,99.44,11.71,"SA8000, GMP",China,Low
SUP-325,Sri Lanka Logistics Co.,65.61,10.39,"ISO 9001, FairTrade, ISO 14001",Malaysia,Medium
SUP-326,Island Fresh Produce,64.25,19.58,ISO 9001,Sri Lanka,High
SUP-327,Highland Dairy Suppliers,72.58,16.4,"GMP, ISO 9001, ISO 14001",Singapore,Medium
SUP-328,Sapphire IT Solutions,59.1,7.41,"GMP, None",Bangladesh,Medium
SUP-329,Eastern Electronics,77.67,6.43,"HACCP, None, SA8000",Sri Lanka,Medium
SUP-330,Lanka Mining Co.,76.26,5.42,"FairTrade, ISO 14001",China,Medium
SUP-331,Sunshine Pharmaceuticals,68.95,17.25,"GMP, FairTrade",Sri Lanka,Low
SUP-332,Southern Timber Suppliers,95.8,19.03,HACCP,India,Medium
SUP-333,Sapphire IT Solutions,98.77,11.5,FairTrade,Singapore,Medium
SUP-334,Eastern Electronics,87.91,19.39,"ISO 14001, ISO 9001, None",Singapore,Medium
SUP-335,Lotus Printing Services,85.84,24.25,"GMP, ISO 14001, SA8000",Indonesia,Medium
SUP-336,Lanka Commodities,57.09,20.29,"ISO 14001, ISO 9001",Thailand,Medium
SUP-337,Asian Packaging Ltd.,62.82,8.06,"HACCP, SA8000",Singapore,Medium
SUP-338,Lotus Printing Services,89.41,8.32,"ISO 14001, None, FairTrade",Bangladesh,Medium
SUP-339,Lanka Commodities,71.89,15.42,"ISO 9001, SA8000, GMP",Singapore,Medium
SUP-340,Lanka Mining Co.,98.38,7.9,"ISO 9001, SA8000",Vietnam,Low
SUP-341,Pearl Maritime Services,82.75,14.86,"ISO 14001, HACCP",Malaysia,Medium
SUP-342,Ceylon Agro Industries,85.56,23.58,"ISO 9001, HACCP, SA8000",Singapore,Medium
SUP-343,Lotus Printing Services,78.47,23.12,None,China,High
SUP-344,Lanka Mining Co.,64.21,23.56,ISO 9001,Malaysia,Medium
SUP-345,Kelani Chemical Suppliers,94.86,18.11,ISO 14001,India,Medium
SUP-346,Green Energy Solutions,73.86,14.96,"SA8000, FairTrade",China,High
SUP-347,Lanka Mining Co.,81.24,21.46,"HACCP, None",Thailand,Low
SUP-348,Pearl Maritime Services,72.09,6.01,"FairTrade, SA8000, None",Malaysia,High
SUP-349,Pearl Maritime Services,70.13,6.78,"GMP, FairTrade",Singapore,Medium
SUP-350,Highland Dairy Suppliers,58.27,22.27,"FairTrade, ISO 14001, ISO 9001",Thailand,Medium
SUP-351,Lanka Commodities,94.09,17.36,"FairTrade, GMP",Bangladesh,Low
SUP-352,Oceanic Shipping Lines,84.22,24.76,"ISO 9001, FairTrade, None",Vietnam,High
SUP-353,Sunshine Pharmaceuticals,84.08,18.43,SA8000,Malaysia,Medium
SUP-354,Lanka Mining Co.,51.06,16.93,"FairTrade, SA8000, HACCP",Singapore,Low
SUP-355,Pearl Maritime Services,76.71,11.36,"HACCP, None, SA8000",Singapore,Medium
SUP-356,Pearl Maritime Services,97.56,24.17,HACCP,Sri Lanka,Low
SUP-357,Sunshine Pharmaceuticals,61.26,16.17,SA8000,Malaysia,High
SUP-358,Global Textiles Lanka,61.47,10.1,"None, GMP",Thailand,Medium
SUP-359,Lanka Commodities,69.29,12.61,"FairTrade, ISO 14001",Vietnam,Medium
SUP-360,Lanka Mining Co.,63.29,8.06,"None, ISO 9001, GMP",Sri Lanka,Medium
SUP-361,Sapphire IT Solutions,93.2,16.82,GMP,Sri Lanka,Medium
SUP-362,Sunshine Pharmaceuticals,69.7,19.79,"GMP, ISO 9001",India,Medium
SUP-363,Ceylon Agro Industries,88.97,22.45,"ISO 9001, SA8000",China,Low
SUP-364,Global Textiles Lanka,64.74,17.62,"HACCP, GMP, ISO 9001",United Arab Emirates,Low
SUP-365,Southern Timber Suppliers,53.16,23.95,SA8000,Thailand,Low
SUP-366,Global Textiles Lanka,99.16,22.86,"ISO 14001, SA8000, ISO 9001",Singapore,Medium
SUP-367,Colombo Steel Traders,59.23,7.21,GMP,Malaysia,Medium
SUP-368,Oceanic Shipping Lines,67.04,20.86,"FairTrade, ISO 14001",Indonesia,High
SUP-369,Kelani Chemical Suppliers,70.11,5.31,"FairTrade, ISO 9001, SA8000",Malaysia,High
SUP-370,Lanka Mining Co.,78.31,17.09,SA8000,Malaysia,Medium
SUP-371,Eastern Electronics,92.03,9.28,"HACCP, ISO 9001, ISO 14001",Vietnam,High
SUP-372,Eastern Electronics,96.19,7.62,GMP,India,Medium
SUP-373,Kelani Chemical Suppliers,72.69,23.03,None,Singapore,Medium
SUP-374,Sunshine Pharmaceuticals,93.73,20.06,"FairTrade, ISO 9001",Singapore,Medium
SUP-375,Asian Packaging Ltd.,91.62,6.25,None,United Arab Emirates,High
SUP-376,Colombo Steel Traders,79.64,13.39,"HACCP, ISO 14001, None",Bangladesh,Low
SUP-377,Island Fresh Produce,75.2,19.49,"HACCP, GMP, SA8000",Malaysia,Medium
SUP-378,Eastern Electronics,52.33,17.74,"FairTrade, None, ISO 9001",Indonesia,Low
SUP-379,Lanka Commodities,70.87,23.01,"GMP, HACCP",Indonesia,High
SUP-380,Southern Timber Suppliers,89.44,11.65,"SA8000, HACCP, FairTrade",Malaysia,Medium
SUP-381,Green Energy Solutions,71.8,10.18,ISO 9001,China,High
SUP-382,Highland Dairy Suppliers,82.3,24.28,FairTrade,Thailand,Medium
SUP-383,Serendib Construction Materials,52.69,23.22,"FairTrade, HACCP, ISO 14001",India,Low
SUP-384,Sunshine Pharmaceuticals,78.39,11.61,ISO 14001,Thailand,Low
SUP-385,Oceanic Shipping Lines,58.91,19.59,"GMP, HACCP, ISO 9001",Thailand,High
SUP-386,Lanka Commodities,51.66,11.65,"HACCP, ISO 14001",Vietnam,Low
SUP-387,Oceanic Shipping Lines,69.26,9.77,"ISO 9001, None, HACCP",Indonesia,Medium
SUP-388,Ceylon Agro Industries,52.12,23.56,FairTrade,China,Medium
SUP-389,Sapphire IT Solutions,60.31,6.88,"FairTrade, HACCP, None",India,High
SUP-390,Pearl Maritime Services,97.49,14.43,FairTrade,Thailand,High
SUP-391,Island Fresh Produce,90.21,15.81,"HACCP, ISO 14001",China,Medium
SUP-392,Oceanic Shipping Lines,85.9,23.84,"FairTrade, HACCP",China,High
SUP-393,Sri Lanka Logistics Co.,56.69,20.25,"ISO 9001, SA8000",Malaysia,Low
SUP-394,Ceylon Agro Industries,99.55,22.82,"None, HACCP",Malaysia,High
SUP-395,Ceylon Agro Industries,74.84,9.34,"HACCP, SA8000",Sri Lanka,Low
SUP-396,Global Textiles Lanka,74.83,5.3,"SA8000, None, HACCP",Thailand,Medium
SUP-397,Lanka Commodities,86.08,17.13,SA8000,United Arab Emirates,Medium
SUP-398,Lanka Mining Co.,79.78,21.5,ISO 9001,United Arab Emirates,Medium
SUP-399,Lotus Printing Services,79.51,13.48,"ISO 14001, FairTrade, GMP",Singapore,High
SUP-400,Sapphire IT Solutions,66.83,14.27,"HACCP, ISO 9001, FairTrade",Bangladesh,High
SUP-401,Asian Packaging Ltd.,84.85,16.14,"ISO 9001, HACCP",India,Low
SUP-402,Sunshine Pharmaceuticals,94.77,10.68,"ISO 9001, FairTrade, GMP",Thailand,High
SUP-403,Island Fresh Produce,90.24,23.81,ISO 9001,United Arab Emirates,Medium
SUP-404,Sunshine Pharmaceuticals,66.53,10.72,ISO 14001,Singapore,Medium
SUP-405,Eastern Electronics,66.43,17.86,ISO 14001,United Arab Emirates,Low
SUP-406,Highland Dairy Suppliers,72.33,19.27,ISO 14001,China,Low
SUP-407,Sunshine Pharmaceuticals,90.39,18.33,FairTrade,India,Medium
SUP-408,Asian Packaging Ltd.,86.49,10.32,"SA8000, None, HACCP",Thailand,Medium
SUP-409,Green Energy Solutions,98.42,18.4,"GMP, ISO 14001, HACCP",Sri Lanka,Medium
SUP-410,Highland Dairy Suppliers,82.13,17.07,"SA8000, ISO 9001, HACCP",Bangladesh,Medium
SUP-411,Ceylon Agro Industries,53.68,14.07,"ISO 9001, GMP, SA8000",Malaysia,Medium
SUP-412,Asian Packaging Ltd.,89.27,24.21,"ISO 9001, None, FairTrade",Sri Lanka,Medium
SUP-413,Island Fresh Produce,69.44,5.76,"ISO 9001, None, FairTrade",Singapore,Low
SUP-414,Kelani Chemical Suppliers,66.07,12.97,"ISO 14001, None, HACCP",Vietnam,Low
SUP-415,Kelani Chemical Suppliers,92.3,5.88,"ISO 9001, ISO 14001",United Arab Emirates,Low
SUP-416,Pearl Maritime Services,97.3,8.12,"None, HACCP",Singapore,Low
SUP-417,Green Energy Solutions,54.14,13.63,"ISO 9001, FairTrade, SA8000",United Arab Emirates,High
SUP-418,Southern Timber Suppliers,83.92,14.7,"HACCP, SA8000, FairTrade",Vietnam,High
SUP-419,Highland Dairy Suppliers,88.94,17.58,HACCP,Sri Lanka,Medium
SUP-420,Lanka Mining Co.,99.62,9.05,HACCP,Singapore,Medium
SUP-421,Lanka Commodities,63.04,21.19,"FairTrade, ISO 9001",Vietnam,Medium
SUP-422,Colombo Steel Traders,81.27,20.98,"None, SA8000, GMP",Indonesia,Medium
SUP-423,Ceylon Agro Industries,56.95,22.26,"HACCP, GMP, ISO 9001",Thailand,Medium
SUP-424,Eastern Electronics,79.93,12.04,"FairTrade, SA8000",Bangladesh,High
SUP-425,Kelani Chemical Suppliers,61.72,21.24,"HACCP, GMP",Vietnam,Medium
SUP-426,Sapphire IT Solutions,67.24,12.4,"None, FairTrade",Bangladesh,Medium
SUP-427,Serendib Construction Materials,93.87,5.74,"ISO 14001, FairTrade, ISO 9001",China,High
SUP-428,Ceylon Agro Industries,88.92,22.31,"HACCP, SA8000",Sri Lanka,High
SUP-429,Global Textiles Lanka,96.82,22.74,"ISO 14001, SA8000",United Arab Emirates,Low
SUP-430,Kelani Chemical Suppliers,57.08,7.33,"FairTrade, HACCP",India,Low
SUP-431,Southern Timber Suppliers,72.64,9.09,"SA8000, HACCP, ISO 9001",China,Low
SUP-432,Ceylon Agro Industries,97.1,20.7,"SA8000, HACCP",Vietnam,Low
SUP-433,Sapphire IT Solutions,88.09,13.22,"GMP, HACCP, None",Malaysia,High
SUP-434,Island Fresh Produce,60.66,15.28,"SA8000, ISO 9001",Thailand,Medium
SUP-435,Gemstone Petroleum Distributors,62.21,11.95,"ISO 14001, ISO 9001, FairTrade",China,Low
SUP-436,Oceanic Shipping Lines,79.97,12.41,"ISO 9001, FairTrade, GMP",Sri Lanka,Low
SUP-437,Sapphire IT Solutions,58.1,13.34,"FairTrade, HACCP",India,Medium
SUP-438,Serendib Construction Materials,91.63,5.72,"SA8000, None",Singapore,Medium
SUP-439,Sunshine Pharmaceuticals,82.97,17.34,"None, ISO 14001",Malaysia,Medium
SUP-440,Lanka Mining Co.,88.42,10.69,None,Vietnam,Medium
SUP-441,Global Textiles Lanka,62.18,12.52,ISO 14001,Vietnam,Medium
SUP-442,Asian Packaging Ltd.,84.88,8.31,"None, HACCP, GMP",Bangladesh,Low
SUP-443,Sri Lanka Logistics Co.,62.19,18.05,"None, SA8000, HACCP",Indonesia,Medium
SUP-444,Pearl Maritime Services,63.16,23.89,"SA8000, FairTrade, ISO 14001",Bangladesh,Low
SUP-445,Lanka Commodities,83.17,7.02,"HACCP, ISO 9001, GMP",Singapore,Medium
SUP-446,Lanka Commodities,61.72,18.26,GMP,Thailand,High
SUP-447,Sapphire IT Solutions,75.74,7.2,"SA8000, ISO 14001",China,Medium
SUP-448,Serendib Construction Materials,96.85,12.27,"GMP, ISO 14001",Sri Lanka,High
SUP-449,Serendib Construction Materials,71.53,23.88,"SA8000, HACCP",India,Low
SUP-450,Lanka Commodities,94.65,11.08,"FairTrade, GMP",Sri Lanka,Medium
SUP-451,Oceanic Shipping Lines,97.58,7.41,"ISO 9001, None",Singapore,Low
SUP-452,Highland Dairy Suppliers,59.54,24.55,HACCP,Sri Lanka,Medium
SUP-453,Eastern Electronics,63.3,21.76,"ISO 9001, HACCP",Indonesia,Low
SUP-454,Sunshine Pharmaceuticals,79.74,13.55,ISO 9001,Sri Lanka,High
SUP-455,Eastern Electronics,52.54,14.08,"FairTrade, GMP",Malaysia,Medium
SUP-456,Green Energy Solutions,53.02,14.68,"HACCP, ISO 14001",Thailand,Low
SUP-457,Oceanic Shipping Lines,74.5,23.1,GMP,China,Medium
SUP-458,Eastern Electronics,73.69,8.77,"FairTrade, None, HACCP",Bangladesh,Medium
SUP-459,Lotus Printing Services,82.43,17.21,"GMP, None",United Arab Emirates,Medium
SUP-460,Eastern Electronics,80.57,17.74,ISO 9001,China,Medium
SUP-461,Serendib Construction Materials,89.51,11.43,"ISO 14001, HACCP",China,Medium
SUP-462,Oceanic Shipping Lines,88.85,23.01,"None, ISO 14001",India,Medium
SUP-463,Asian Packaging Ltd.,92.54,20.27,"ISO 9001, ISO 14001, FairTrade",Thailand,Low
SUP-464,Sri Lanka Logistics Co.,81.43,17.8,"HACCP, GMP",Sri Lanka,Low
SUP-465,Southern Timber Suppliers,96.2,14.98,ISO 14001,China,Medium
SUP-466,Sapphire IT Solutions,95.66,14.41,"None, GMP, SA8000",Bangladesh,High
SUP-467,Sunshine Pharmaceuticals,98.14,15.08,"ISO 9001, FairTrade",India,Medium
SUP-468,Oceanic Shipping Lines,83.22,11.16,"ISO 14001, None",Vietnam,Low
SUP-469,Lanka Mining Co.,88.77,6.13,"ISO 14001, HACCP",China,Low
SUP-470,Sapphire IT Solutions,56.56,20.98,"None, HACCP",United Arab Emirates,Medium
SUP-471,Southern Timber Suppliers,67.41,6.43,"None, FairTrade",China,Medium
SUP-472,Highland Dairy Suppliers,93.43,21.98,"GMP, FairTrade",Bangladesh,High
SUP-473,Southern Timber Suppliers,58.37,11.63,"HACCP, ISO 14001",Bangladesh,High
SUP-474,Island Fresh Produce,69.45,9.64,GMP,Vietnam,Medium
SUP-475,Asian Packaging Ltd.,55.56,14.19,HACCP,Thailand,Medium
SUP-476,Oceanic Shipping Lines,70.17,21.46,FairTrade,Singapore,Low
SUP-477,Lanka Commodities,87.33,7.38,HACCP,United Arab Emirates,Low
SUP-478,Eastern Electronics,80.58,13.92,None,Sri Lanka,Medium
SUP-479,Highland Dairy Suppliers,71.76,19.17,"FairTrade, HACCP",India,Medium
SUP-480,Sri Lanka Logistics Co.,81.36,6.97,"ISO 9001, SA8000, ISO 14001",China,Low
SUP-481,Oceanic Shipping Lines,72.18,13.81,"SA8000, ISO 14001, None",Vietnam,Low
SUP-482,Kelani Chemical Suppliers,67.76,9.72,ISO 9001,India,Medium
SUP-483,Lanka Mining Co.,68.14,8.82,"SA8000, GMP, ISO 14001",Sri Lanka,Medium
SUP-484,Sapphire IT Solutions,85.04,22.32,"SA8000, ISO 9001, ISO 14001",Indonesia,High
SUP-485,Island Fresh Produce,57.83,14.15,"None, GMP, SA8000",Thailand,High
SUP-486,Serendib Construction Materials,98.16,8.7,"HACCP, GMP, None",Sri Lanka,Low
SUP-487,Sapphire IT Solutions,94.22,6.2,SA8000,Vietnam,Medium
SUP-488,Lotus Printing Services,59.04,9.43,"SA8000, FairTrade",Malaysia,Medium
SUP-489,Eastern Electronics,82.68,19.18,"FairTrade, ISO 14001, ISO 9001",Malaysia,Medium
SUP-490,Island Fresh Produce,54.3,22.6,ISO 9001,Bangladesh,Medium
SUP-491,Asian Packaging Ltd.,95.27,13.12,"HACCP, SA8000",India,High
SUP-492,Sapphire IT Solutions,97.54,5.22,"SA8000, None",Sri Lanka,High
SUP-493,Pearl Maritime Services,74.81,6.76,"ISO 14001, None, SA8000",Sri Lanka,High
SUP-494,Ceylon Agro Industries,75.77,22.02,"FairTrade, ISO 14001, SA8000",Bangladesh,Medium
SUP-495,Lanka Mining Co.,53.74,8.92,"ISO 14001, SA8000, None",Vietnam,Medium
SUP-496,Lanka Commodities,57.48,14.5,"SA8000, None",Sri Lanka,Medium
SUP-497,Lanka Commodities,79.67,24.2,"SA8000, FairTrade",Bangladesh,Medium
SUP-498,Island Fresh Produce,53.93,24.53,HACCP,Bangladesh,Low
SUP-499,Green Energy Solutions,89.88,22.01,"ISO 9001, None, HACCP",Thailand,High
